id,gflux,rflux
1237662635840242380,3.976529,24.72618
1237662635840307708,4.609279,27.02153
1237662636377113663,3.502451,16.78145
1237662636377113845,4.280759,32.58197
1237662636377113210,5.393002,23.0061
1237662199364191512,2.714801,15.36259
1237662199364190870,17.69614,77.2179
1237662199900996273,2.796478,18.32441
1237661950816682548,16.86621,62.90798
1237662636376982046,11.23004,40.1982
1237661950279680991,4.611702,24.12989
1237662199900931129,4.849271,23.58385
1237662199900865201,6.064951,27.65059
1237662199364059779,11.56692,49.08437
1237662534362661315,2.524939,17.6787
1237662636913591701,4.048301,15.34745
1237662636376720703,3.007929,18.12293
1237668348148318369,2.043286,14.04837
1237662636376785601,7.89739,40.1809
1237662637450592348,6.423677,31.34926
1237668348148253294,18.25382,57.2298
1237668330964386321,16.76431,57.39989
1237662637450527999,4.27288,15.89185
1237662636913787554,6.437206,31.42477
1237668330964517799,1.433797,16.98712
1237661951353487883,13.54021,51.11658
1237662636377047946,3.119797,18.25049
1237662534362923688,7.067051,32.76142
1237662636377047660,14.82255,53.93697
1237662637987595037,14.44947,59.7625
1237668348148580910,5.000753,25.48494
1237661951353684251,2.960667,18.30308
1237661951353553338,4.814106,17.49585
1237668348148580466,10.65709,46.27444
1237661951353618973,10.8666,44.32121
1237668331501453848,4.188807,29.41713
1237662637450790247,2.317032,14.59212
1237662637450855114,4.643066,22.84554
1237662637450855203,2.705215,18.42291
1237668348148777699,3.475635,18.01583
1237668348148712328,3.374057,22.75681
1237661951353684493,2.151182,17.54247
1237662636914049260,1.864519,12.90557
1237662636914049080,2.882076,19.18865
1237668348148646455,6.569605,27.09762
1237662637987725995,8.052953,38.71414
1237662638524596710,9.912189,42.29877
1237662637450855837,2.547632,15.05731
1237662636914115474,2.061579,13.97829
1237662637450985913,0.6823205,13.0332
1237662534363185614,3.995033,18.93636
1237662636914115019,2.626079,14.8286
1237662636914115704,4.202557,18.83286
1237668330964844677,23.1933,70.73207
1237662534363251562,3.967091,21.53289
1237662638524662380,2.839854,13.36372
1237668349222519402,8.341104,27.62156
1237668348685648426,2.641518,13.47097
1237662637451051630,4.026946,23.09114
1237662637451052480,2.580303,13.60479
1237662637987988789,3.123854,16.91315
1237668348149040143,2.398255,13.58486
1237662637451247741,10.81694,45.13735
1237668331501913295,2.25761,13.65229
1237662637451510001,4.899585,19.39615
1237662636914573983,7.997059,35.61053
1237668330965304350,2.6492,14.80703
1237662637451510782,2.922007,15.758
1237668348149432695,9.728897,40.47834
1237668348149367254,55.83971,145.643
1237668348686238662,1.85424,15.9891
1237662637451575968,38.67457,139.4604
1237668348686238472,2.700672,15.77642
1237668271915139829,2.548296,14.50444
1237668365853131392,17.75644,61.82415
1237668271916450156,14.12342,40.34508
1237668311094329879,31.8066,96.19471
1237668365316064574,2.100036,16.51677
1237668310557459050,14.74003,49.85676
1237668272453124650,7.715827,29.91549
1237668310557328415,2.392941,12.92531
1237668272452994098,6.248868,20.26542
1237668270842576917,1.89636,14.1847
1237668310557262413,9.724953,41.20349
1237668271916123048,2.461792,13.20317
1237668310557196692,10.39285,42.48195
1237668365315671128,3.04491,15.54922
1237668272452731419,13.01556,47.19817
1237668271379055561,2.141464,13.02594
1237668311093805533,10.13963,41.97297
1237668271915795294,4.969642,25.67672
1237668311093740070,15.52736,60.72105
1237668270842118628,18.94687,65.57098
1237668333111411084,13.7462,54.75601
1237668310556803920,2.591092,13.74992
1237668271915663767,28.51803,96.14105
1237668271378727571,12.28283,44.10612
1237668271378728051,2.61366,15.80057
1237668332574343945,5.160174,18.27856
1237668333111149105,8.601351,44.76786
1237668365315540155,3.572761,16.43646
1237668365852999757,3.814171,14.50544
