objid,ra,dec
1237662637987988789,244.529563937494,8.44114178398165
1237668348149040143,244.671002671989,7.81771101675741
1237662637451247741,244.695144045255,7.95069164692952
1237668331501913295,244.76321037031,8.55122596104256
1237662637451510001,245.208668074784,7.82458442509761
1237662636914573983,245.004275874066,7.54121886215182
1237668330965304350,245.21150000079,8.0238004886677
1237662637451510782,245.244038966624,7.94678984447028
1237668348149432695,245.406291663494,7.56369706281907
1237668348149367254,245.3467725555,7.59137087156467
1237668348686238662,245.425122406691,8.14554686031347
1237662637451575968,245.509501953933,7.86093231090367
1237668348686238472,245.443674311351,8.01747178982096
1237668271915139829,241.141995484711,11.4558449501313
1237668365853131392,244.454283066899,11.3216790320805
1237668271916450156,244.0194543036,10.4283587326284
1237668311094329879,244.005130257145,10.8013351211795
1237668365316064574,244.00539462849,11.1410587534244
1237668310557459050,243.793918883446,10.3203546052495
1237668272453124650,243.743931950861,11.0176124879201
1237668310557328415,243.561587453521,10.4208444427333
1237668272452994098,243.491677745033,11.0172530211823
1237668270842576917,243.517817797619,9.82538080628375
1237668310557262413,243.381098946832,10.4933424098354
1237668271916123048,243.352776209198,10.7511459379696
1237668310557196692,243.25341143011,10.5545274275786
1237668365315671128,243.051627794487,11.4224609607609
1237668272452731419,242.833282439749,11.1861827164389
1237668271379055561,242.753252280078,10.3391279512501
1237668311093805533,242.71546621482,11.1910003959206
1237668271915795294,242.590503481102,10.8423205069868
1237668311093740070,242.694936968312,11.2006116425419
1237668270842118628,242.555074030088,9.99151580528669
1237668333111411084,242.558701563409,10.2752154987658
1237668310556803920,242.279343830861,10.7053811816859
1237668271915663767,242.311651530011,10.9824465131322
1237668271378727571,242.067454813211,10.5738729155382
1237668271378728051,242.093763432479,10.5883082473157
1237668332574343945,242.055268021088,10.1552442182756
1237668333111149105,241.913493401591,10.4269106410793
1237668365315540155,242.807215756962,11.4631675869792
1237668365852999757,244.212621788441,11.4852135939127
1237668333111411197,242.5272075443,10.3071809357729
