ra,dec
2.427532467437454784e+02,1.033914533134211489e+01
2.427154415677260317e+02,1.119102116286109982e+01
2.425904668113458342e+02,1.084229001112380075e+01
2.426949341810579028e+02,1.120062872126247733e+01
2.425550815285088220e+02,9.991542067752826384e+00
2.425586913984683406e+02,1.027523231744867793e+01
2.422793380735039364e+02,1.070542333509656885e+01
2.423116368910876304e+02,1.098246261568031912e+01
2.420674014544135559e+02,1.057386874745231076e+01
2.420937632719207784e+02,1.058832192824259621e+01
2.420552725677626427e+02,1.015526777548051207e+01
2.419135025623586444e+02,1.042691713693363198e+01
2.428072260786616710e+02,1.146318617361549919e+01
2.442126109929431266e+02,1.148522454929415204e+01
2.425271861908327082e+02,1.030719657987899573e+01
2.424523188859756999e+02,1.029853397638763468e+01
2.421690786815262868e+02,1.013220511590838946e+01
2.421557503128605902e+02,1.030785883868280628e+01
2.421389573206075738e+02,1.064891780064500360e+01
2.421918436247543696e+02,1.048095349035215840e+01
2.420406266503875372e+02,1.038880704056509074e+01
2.420256844610166809e+02,1.031083186187295730e+01
2.419270785768313772e+02,1.041679778747599805e+01
2.419253230886878612e+02,1.004326806720641407e+01
2.419284079908817660e+02,1.029014067690157574e+01
2.418890817537115083e+02,1.071044386935967907e+01
2.417464368023666168e+02,9.792598334558936912e+00
2.416515324086004739e+02,1.052691238846676747e+01
2.416308117853285751e+02,1.053924653740976503e+01
2.415295796414196161e+02,1.038933004635317126e+01
2.413703044760341072e+02,1.049359698110604278e+01
2.412172898342662677e+02,9.880297539455767719e+00
2.413075214875836423e+02,9.919290744880607136e+00
2.413477257061002490e+02,9.857704147337170042e+00
2.410807678015714259e+02,1.030903960120660656e+01
2.413205459902766279e+02,1.060498348496795629e+01
2.413012279977091339e+02,1.075642002221119853e+01
2.411108344114387023e+02,1.008672283983638884e+01
2.411297527841649924e+02,1.000813831895118966e+01
2.410417561438690370e+02,9.605041727391663287e+00
2.410796764734066358e+02,1.033084401422290988e+01
2.410958483014306921e+02,1.111896789132833518e+01
2.411527908514862304e+02,1.091247750197871902e+01
2.412500743886932355e+02,1.136016220916289043e+01
2.412996482588301888e+02,1.134780260225008952e+01
2.411981644889967811e+02,1.134682109935429217e+01
2.411226498886777847e+02,1.107935995871715384e+01
2.417484354854411208e+02,1.087352547461014218e+01
2.419130160882543237e+02,1.109938630094563194e+01
2.421476910586875988e+02,1.122114794710339680e+01
2.420338375796880257e+02,1.091225219598987728e+01
2.449312582918101953e+02,9.548268824443342240e+00
2.449260937650560663e+02,9.648993656763124704e+00
2.449513829063374715e+02,9.777453025862167024e+00
2.449231458376378896e+02,9.776457312109183562e+00
2.449896715658250628e+02,9.922438898123065343e+00
2.448091420729990944e+02,9.555551641695549492e+00
2.448170563555693775e+02,9.598597527851117306e+00
2.447646981579098906e+02,9.945073522436500113e+00
2.445814178686802336e+02,9.314922510827924995e+00
2.446946765148797454e+02,9.733426918239890924e+00
2.447464415887663733e+02,9.781082638389381856e+00
2.445395309455509221e+02,9.244935762954057168e+00
2.443608212285172954e+02,9.456646894559685990e+00
2.444396326080887150e+02,9.776764988097447429e+00
2.443112197865877704e+02,9.145988714331410918e+00
2.442929076990993451e+02,9.329372429880862683e+00
2.441804013578736772e+02,9.724282607293552871e+00
2.441174866900587119e+02,9.040389173078002827e+00
2.440524086674280682e+02,9.169338582680587990e+00
2.441609046517506272e+02,9.079546292730482193e+00
2.441222510646318256e+02,9.235267559359876088e+00
2.438837239409011488e+02,8.845487972800182064e+00
2.439022370867111533e+02,9.505947905200134329e+00
2.438098012437621094e+02,8.602071059723103374e+00
2.437582625795051001e+02,8.686704351916988642e+00
2.437483024414503348e+02,8.907233424737160732e+00
2.437704391508131039e+02,9.244553633116186830e+00
2.438111346468475915e+02,9.151196460983760161e+00
2.436707029630312036e+02,9.765413952809030462e+00
2.436496002947366151e+02,9.826952283353076467e+00
2.434695706680510341e+02,8.619972531413482741e+00
2.435444749027988678e+02,9.344187275013926097e+00
2.434950437464342485e+02,9.314973993535486940e+00
2.434898561809545185e+02,9.624335137800578366e+00
2.431977464062736942e+02,9.262850698161727792e+00
2.432625855503070795e+02,9.374744477450848379e+00
2.432973699623084372e+02,9.611185616542512022e+00
2.432469741490073147e+02,9.605057650515334444e+00
2.432052981714595035e+02,8.892736224431130765e+00
2.430738432677288756e+02,8.915130262313942566e+00
2.429748574300618031e+02,9.284617239734592076e+00
2.430255340619516744e+02,9.317497549864564022e+00
2.429532172710791258e+02,9.509874605381419599e+00
2.429978666635165041e+02,9.569394434702473973e+00
2.428061568831402610e+02,9.509003568968772413e+00
2.428730588364243204e+02,9.519199264814639960e+00
2.425200794453166964e+02,9.733875657529875269e+00
2.424607090794702629e+02,9.311275815752734886e+00
2.422282080315816302e+02,9.645944429941780029e+00
