objid,ra,dec,gmag,rmag
1237661950816158460,242.175505182327,7.54104039970701,20.61883,19.14472
1237662635839652515,242.193008943442,7.38440196375135,21.21278,19.56055
1237661950279287825,242.16578674221,7.09847500238739,20.79995,19.0903
1237662199363732119,242.258857038463,6.96639859940352,19.59448,18.17858
1237661949742481952,242.261593373062,6.76130136002062,20.14257,18.51196
1237662239101812928,242.213588457913,6.72051922922663,21.17215,19.16931
1237662636376588446,242.460788722157,7.63545347513272,20.0037,18.47858
1237662636376589103,242.442476300853,7.60906405109906,20.69554,18.86284
1237662635839717720,242.354744867043,7.3243560712859,21.15072,19.25294
1237661950279418916,242.449113391098,7.10736187432134,21.51245,19.57986
1237662198826992917,242.547750613214,6.51999364340217,19.57351,19.31534
1237662636376589110,242.462641486279,7.66888824692995,20.42817,18.74074
1237661950279418582,242.470694279601,7.11419329387916,21.50197,19.48213
1237661950279484449,242.628705066233,7.04056697138848,20.21335,19.09978
1237662198826992326,242.576179353584,6.55589812034436,19.56627,18.1897
1237661950816354929,242.695585582252,7.49133535118852,21.01349,19.08025
1237661950279549876,242.76281251294,7.02633571126684,21.92464,19.65529
1237661950279681088,243.036458450678,6.97937601965418,20.93359,19.27961
1237662199364059839,243.050849443849,6.81351567912243,21.31128,19.75586
1237662635840111423,243.295096178486,7.04880088075988,20.48179,18.81394
1237662635840111920,243.245909155519,7.00995820156386,21.32663,19.30397
1237662199364190834,243.275697143055,6.651438581509,19.85498,18.37491
1237662239102337533,243.373181075373,6.53323388495383,19.42085,17.91192
1237662635840177293,243.420151436007,7.11099287173218,21.25585,19.09085
1237661950816682538,243.413139599576,7.3074129840717,20.70633,18.84019
1237662635840307701,243.658288146001,7.04011137938833,20.93164,19.1746
1237662199364256384,243.443898309009,6.7440433049642,20.79639,19.10137
1237661949743072246,243.561709097942,6.57036422388423,21.0068,19.32244
1237662199364321873,243.563519140786,6.63515500939239,19.57159,18.06438
1237662635840373396,243.807095632253,6.94897571061784,21.28626,19.31847
1237662199364387596,243.719489216699,6.66443014433698,21.15124,19.28513
1237662199364453021,243.879218709043,6.70899281844091,19.53975,18.03324
1237662199364453317,243.85152690057,6.61039826054868,21.37226,19.72527
1237662200438850753,245.5880844085,7.18404270019879,21.43818,19.27263
1237662636914835816,245.589664769743,7.44743647598676,18.17187,16.85956
1237668348149498893,245.661071125035,7.56425366499739,21.38958,19.58903
1237662199901913802,245.403199330287,6.826756171268,19.59595,18.28902
1237662635840963256,245.15358805556,6.65625029440274,19.80043,18.27223
1237662199901848771,245.207674598278,6.89455909155045,22.2737,19.67146
1237662199364911783,245.019331285546,6.5314712501794,20.52818,18.82212
1237662635840897207,245.026887837922,6.54926653332106,21.23375,19.48712
1237662636377703879,244.992301614329,7.18911209065316,21.11536,19.20499
1237662635840832855,244.871754007297,6.68569106209134,20.82639,19.30537
1237662635840832868,244.866576926935,6.64945156589087,21.591,19.59858
1237662635840897987,244.927220163429,6.59572874015502,21.20659,19.69425
1237662636377572048,244.671637339997,7.15868418662362,20.61588,18.95992
1237662636377572016,244.649185014004,7.16406339153511,20.47917,18.85519
1237662636377571837,244.646501098832,7.10834873570018,20.03119,18.84121
1237662200438392006,244.5466318491,7.30386855170461,21.00038,19.17371
1237662200438391763,244.482801318642,7.37774976226239,21.97716,19.51005
1237662636377440880,244.451431094136,7.30799914443473,19.61185,18.1005
1237662636377505907,244.487807614603,7.24679402974152,21.65978,19.6534
1237662636377506558,244.587070078728,7.24828896933975,19.53549,18.07146
1237662199364715132,244.461066550823,6.57836960536836,20.61322,19.01274
1237662199364650313,244.375749547425,6.5660318060239,21.58144,19.68615
1237662199364650221,244.363945814616,6.59915220497605,21.42738,19.54525
1237662200438260386,244.285782383319,7.47287593248093,19.94535,18.43038
1237662635840504489,244.126085591783,6.88443173812639,20.77199,18.98095
1237662636377309965,244.125319770439,7.21261991630407,20.70125,18.97186
1237662636377310589,244.092235839121,7.25194348622079,21.12554,19.27418
1237662199901324249,244.059058044288,7.02864909224206,20.99384,19.21046
1237661950280139986,244.072345540478,6.75504483539809,20.78292,19.04542
1237662199364453108,243.980680040314,6.68233647832059,20.84773,18.94242
1237661950280074535,243.984042397965,6.74944194052363,21.07896,19.3377
1237662635840438507,244.012334505584,6.91843226910021,21.97222,19.57223
1237662635840439029,244.039791045232,6.98357742842031,21.2017,19.19748
1237662199901257977,243.926426215286,7.09988149574515,21.77999,19.67226
1237662199901324024,244.062163730446,7.05587435374449,20.33482,18.89223
1237662636377244688,243.882706377926,7.32235767667621,20.70877,18.95829
1237662200438129660,243.935079278597,7.44353329008641,21.69222,19.51736
1237662636377179198,243.745625863454,7.36936073659078,21.05124,19.29835
1237662200438064167,243.735389113821,7.49367240771142,20.85849,18.80169
1237662199364321947,243.690042115169,6.73726669312429,19.43244,18.06949
1237662635840242380,243.482665959507,7.06071046325705,21.00068,19.01708
1237662635840307708,243.641425931812,6.96253389141495,20.8405,18.9207
1237662636377113663,243.615759076582,7.39722646500508,21.13835,19.43787
1237662636377113845,243.649453705059,7.37012016082091,20.92072,18.71754
1237662636377113210,243.597785234881,7.49403144881519,20.67012,19.09536
1237662199364191512,243.361974813825,6.72232982080692,21.41446,19.53377
1237662199364190870,243.343943496845,6.74729739474051,19.38028,17.7807
1237662199900996273,243.280764203625,7.21162059305521,21.38235,19.34238
1237661950816682548,243.413246085524,7.26828556691252,19.43242,18.00323
1237662636376982046,243.280141747067,7.48147147738323,19.87398,18.48947
1237661950279680991,243.013729574849,6.99651152118835,20.83993,19.04358
1237662199900931129,243.098002245248,7.28162510161476,20.78543,19.06844
1237662199900865201,242.905189161301,7.27535444795291,20.54269,18.89572
1237662199364059779,242.983343363913,6.81245699700669,19.84189,18.27263
1237662534362661315,242.88814341069,8.20928226200724,21.493,19.38132
1237662636913591701,242.877083097556,7.98024438140969,20.98128,19.53484
1237662636376720703,242.775003641685,7.65168484985759,21.30336,19.35438
1237668348148318369,242.967845792874,8.22004942610994,21.72208,19.63086
1237662636376785601,242.912850511837,7.64931397174349,20.25615,18.48994
1237662637450592348,243.200953990034,8.29722783263117,20.48033,18.75942
1237668348148253294,242.908766624948,8.30769105044478,19.34659,18.10594
1237668330964386321,243.125439122542,8.50159129451002,19.439,18.10272
1237662637450527999,243.107524228976,8.31488337317735,20.92272,19.497
1237662636913787554,243.230123064515,7.98375912056121,20.47804,18.7568
1237668330964517799,243.43460059347,8.42792562208611,22.10453,19.42465
1237661951353487883,243.38660105718,7.74100981760852,19.67089,18.22859
1237662636377047946,243.436225564461,7.51697392643754,21.26378,19.34677
1237662534362923688,243.419953044683,8.04760126181491,20.37673,18.71158
1237662636377047660,243.479318359153,7.52485025465912,19.57265,18.17028
1237662637987595037,243.611723592421,8.59585551147524,19.60033,18.05892
1237668348148580910,243.606973216346,8.0599478147911,20.75206,18.98427
1237661951353684251,243.712086551697,7.65361422575076,21.32052,19.34364
1237661951353553338,243.54770015889,7.78043909576984,20.79333,19.39261
1237668348148580466,243.585140282517,8.08787575905063,19.93083,18.33664
1237661951353618973,243.669806412733,7.75443746104781,19.90969,18.38346
1237668331501453848,243.720319874824,8.83439345298886,20.94427,18.82848
1237662637450790247,243.69886774988,8.28463318192255,21.58603,19.58963
1237662637450855114,243.782099395215,8.26178566120944,20.83258,19.10297
1237662637450855203,243.867885888893,8.1928551674155,21.41829,19.33656
1237668348148777699,243.93243292911,7.9382858267597,21.14669,19.36082
1237668348148712328,243.893240843073,8.09152089963311,21.17885,19.10719
1237661951353684493,243.848306785419,7.63180714691034,21.66641,19.38972
1237662636914049260,243.923969096157,7.83783817646963,21.82106,19.72296
1237662636914049080,243.808029759454,7.77922108676522,21.34968,19.29235
1237668348148646455,243.790831046484,8.06235904423414,20.45595,18.91765
1237662637987725995,243.861794709879,8.60069983493132,20.23498,18.53032
1237662638524596710,243.92639254884,8.98920840342234,20.00949,18.43417
1237662637450855837,243.87018366756,8.25782206622107,21.4833,19.55556
1237662636914115474,243.970517585477,7.81260677093183,21.71244,19.63629
1237662637450985913,244.06090937198,8.13397652207716,22.89661,19.71228
1237662534363185614,244.023294678648,7.86446274230373,20.99565,19.30672
1237662636914115019,244.022003897871,7.72400410657383,21.45046,19.57218
1237662636914115704,244.001074775499,7.79566684992776,20.94072,19.31267
1237668330964844677,244.16289977208,8.25551483281662,19.08658,17.87596
1237662534363251562,244.128378002244,7.83258589218695,21.00326,19.16721
1237662638524662380,244.199111286414,8.99094224353872,21.36567,19.68509
1237668349222519402,244.26205447717,8.74378218386107,20.19682,18.89686
1237668348685648426,244.196919953046,8.41644773450252,21.44411,19.67642
1237662637451051630,244.266636979657,8.13274519721956,20.98702,19.09136
1237662637451052480,244.352967850128,8.19292180696564,21.46951,19.66569
1237662637987988789,244.529563937494,8.44114178398165,21.26237,19.42938
1237668348149040143,244.671002671989,7.81771101675741,21.54874,19.66728
1237662637451247741,244.695144045255,7.95069164692952,19.91466,18.36365
1237668331501913295,244.76321037031,8.55122596104256,21.61416,19.6619
1237662637451510001,245.208668074784,7.82458442509761,20.77423,19.28067
1237662636914573983,245.004275874066,7.54121886215182,20.24254,18.62104
1237668330965304350,245.21150000079,8.0238004886677,21.44096,19.57376
1237662637451510782,245.244038966624,7.94678984447028,21.33477,19.50618
1237668348149432695,245.406291663494,7.56369706281907,20.02975,18.48193
1237668348149367254,245.3467725555,7.59137087156467,18.13264,17.09178
1237668348686238662,245.425122406691,8.14554686031347,21.82704,19.49038
1237662637451575968,245.509501953933,7.86093231090367,18.53143,17.13887
1237668348686238472,245.443674311351,8.01747178982096,21.42012,19.50492
1237668271915139829,241.141995484711,11.4558449501313,21.48302,19.59617
1237668365853131392,244.454283066899,11.3216790320805,19.37658,18.0221
1237668271916450156,244.0194543036,10.4283587326284,19.62511,18.48551
1237668311094329879,244.005130257145,10.8013351211795,18.7437,17.54212
1237668365316064574,244.00539462849,11.1410587534244,21.69244,19.45513
1237668310557459050,243.793918883446,10.3203546052495,19.57871,18.25568
1237668272453124650,243.743931950861,11.0176124879201,20.2814,18.81024
1237668310557328415,243.561587453521,10.4208444427333,21.55114,19.7213
1237668272452994098,243.491677745033,11.0172530211823,20.51027,19.23307
1237668270842576917,243.517817797619,9.82538080628375,21.80276,19.62037
1237668310557262413,243.381098946832,10.4933424098354,20.03019,18.46266
1237668271916123048,243.352776209198,10.7511459379696,21.52042,19.69822
1237668310557196692,243.25341143011,10.5545274275786,19.95808,18.42948
1237668365315671128,243.051627794487,11.4224609607609,21.29012,19.52066
1237668272452731419,242.833282439749,11.1861827164389,19.71379,18.31518
1237668271379055561,242.753252280078,10.3391279512501,21.67131,19.71288
1237668311093805533,242.71546621482,11.1910003959206,19.98486,18.44257
