gflux,rflux
0.5341209,2.78017
0.2511643,1.236772
0.3890043,3.499821
0.002183273,1.344756
0.04601622,1.37614
3.466409,9.717121
4.953137,7.433231
0.7473011,1.13417
0.2616812,-0.6357639
-0.3214003,-0.281116
5.326335,10.28163
0.01498724,0.9015415
-0.007211783,0.4809363
-0.7698596,0.7708017
-0.0112453,0.4640646
0.5557981,-0.03990316
0.382182,-0.001296985
0.01049415,0.3932736
-0.04276433,0.7126615
0.04454731,1.689033
0.155009,0.1829194
0.1164878,0.6006362
0.7417176,1.39806
3.617762,8.034461
3.575027,6.901473
0.04670544,0.5349071
0.06133977,0.03520306
-0.02452582,0.04782144
0.7160284,2.154592
-0.01196692,1.437256
1.328533,6.066531
0.6731629,0.9020931
1.049433,4.481322
0.3007939,1.811342
1.192444,1.314262
0.444196,1.278866
-0.007849858,1.21263
0.4907309,0.7006404
0.8086612,1.123787
2.319596,5.880372
2.87079,9.825825
0.5342582,-0.00255246
0.9039357,3.145844
5.369095,12.51096
1.316203,2.215288
2.386214,6.726685
-0.0264676,0.2296776
0.641056,1.927111
0.4173211,2.305562
0.02226772,2.278096
-0.8670684,1.413506
-31.35748,32.68418
0.6366493,1.32598
0.3843506,1.240268
0.3545141,0.04929433
-0.007457803,0.6936724
0.3233971,2.707348
0.719224,0.9913103
-0.05324771,0.7951877
0.9929291,4.920689
0.578494,1.289388
0.7255287,1.784236
0.4273112,1.187799
0.6179368,0.9776543
0.3475687,1.344456
0.4796368,1.626219
-347.9619,-709.6032
-366.7608,-738.7687
-366.763,-379.2864
-313.1761,-531.3351
-1.107533,0.1557015
0.002683511,0.002210639
-0.9288051,0.3207871
0.009450679,1.269114
-0.4771146,0.1781152
-0.009869336,2.060561
0.1482059,0.8629427
0.3248869,0.03739965
1.206279,0.7989017
1.343255,2.425446
2.572683,4.316063
1.417107,6.670014
1.854051,3.238863
1.696371,2.068232
1.358713,2.903194
-0.09028861,-0.1598595
0.7433777,2.157536
0.9796476,2.387714
0.688721,1.929293
0.1809909,1.105902
0.7771397,1.538159
2.204025,8.617466
0.4501409,1.599016
-0.1238127,-0.1654456
-0.02130574,-0.1085129
0.5052631,0.7839268
9.406207,14.59118
-0.04082228,-0.302814
0.1755317,2.695681
-0.05233169,0.8538649
0.03650665,1.096218
0.4934718,0.8526322
1.155219,4.895429
0.3604415,2.62667
0.8717218,0.9174681
