objid,ra,dec,gflux,rflux
1237668271915139829,241.141995484711,11.4558449501313,2.548296,14.50444
1237668365853131392,244.454283066899,11.3216790320805,17.75644,61.82415
1237668271916450156,244.0194543036,10.4283587326284,14.12342,40.34508
1237668311094329879,244.005130257145,10.8013351211795,31.8066,96.19471
1237668365316064574,244.00539462849,11.1410587534244,2.100036,16.51677
1237668310557459050,243.793918883446,10.3203546052495,14.74003,49.85676
1237668272453124650,243.743931950861,11.0176124879201,7.715827,29.91549
1237668310557328415,243.561587453521,10.4208444427333,2.392941,12.92531
1237668272452994098,243.491677745033,11.0172530211823,6.248868,20.26542
1237668270842576917,243.517817797619,9.82538080628375,1.89636,14.1847
1237668310557262413,243.381098946832,10.4933424098354,9.724953,41.20349
1237668271916123048,243.352776209198,10.7511459379696,2.461792,13.20317
1237668310557196692,243.25341143011,10.5545274275786,10.39285,42.48195
1237668365315671128,243.051627794487,11.4224609607609,3.04491,15.54922
1237668272452731419,242.833282439749,11.1861827164389,13.01556,47.19817
1237668271379055561,242.753252280078,10.3391279512501,2.141464,13.02594
1237668311093805533,242.71546621482,11.1910003959206,10.13963,41.97297
1237668271915795294,242.590503481102,10.8423205069868,4.969642,25.67672
1237668311093740070,242.694936968312,11.2006116425419,15.52736,60.72105
1237668270842118628,242.555074030088,9.99151580528669,18.94687,65.57098
1237668333111411084,242.558701563409,10.2752154987658,13.7462,54.75601
1237668310556803920,242.279343830861,10.7053811816859,2.591092,13.74992
1237668271915663767,242.311651530011,10.9824465131322,28.51803,96.14105
1237668271378727571,242.067454813211,10.5738729155382,12.28283,44.10612
1237668271378728051,242.093763432479,10.5883082473157,2.61366,15.80057
1237668332574343945,242.055268021088,10.1552442182756,5.160174,18.27856
1237668333111149105,241.913493401591,10.4269106410793,8.601351,44.76786
1237668365315540155,242.807215756962,11.4631675869792,3.572761,16.43646
1237668365852999757,244.212621788441,11.4852135939127,3.814171,14.50544
1237668333111411197,242.5272075443,10.3071809357729,10.7137,44.24356
